"Index","eth_return","eth_ml_model_position","eth_ml_model_gross","eth_ml_model_turnover","eth_ml_model_net_10bp","eth_sma_inv_vol_agg_position","eth_sma_inv_vol_agg_gross","eth_sma_inv_vol_agg_net","eth_sma_inv_vol_agg_turnover"
"2024-01-14 23:59:59",-0.0405017133600513,1,-0.0405017133600513,0,-0.0405017133600513,1,-0.0405017133600513,-0.0405017133600513,2.22044604925031e-16
"2024-01-15 23:59:59",0.0158246776706992,1,0.0158246776706992,0,0.0158246776706992,0.592386401088768,0.00937432385373527,0.00896671025482404,0.407613598911232
"2024-01-16 23:59:59",0.0303928172807573,1,0.0303928172807573,0,0.0303928172807573,0.595013811554252,0.0180841460540953,0.0180815186436298,0.00262741046548398
"2024-01-17 23:59:59",-0.0229245712102402,1,-0.0229245712102402,0,-0.0229245712102402,1,-0.0229245712102402,-0.0233295573986859,0.404986188445748
"2024-01-18 23:59:59",-0.02426487155855,1,-0.02426487155855,0,-0.02426487155855,0.592948704142869,-0.0143878241468354,-0.0147948754426925,0.407051295857131
"2024-01-19 23:59:59",0.00911212174108211,1,0.00911212174108211,0,0.00911212174108211,0.594035075260634,0.00541291992424777,0.00541183355313001,0.00108637111776444
"2024-01-20 23:59:59",-0.00799739344240136,1,-0.00799739344240136,0,-0.00799739344240136,0.59354946714644,-0.00474684861629776,-0.00474733422441195,0.000485608114193736
"2024-01-21 23:59:59",-0.00634762476968054,1,-0.00634762476968054,0,-0.00634762476968054,0.596285016634664,-0.00378499354137957,-0.00378772909086779,0.0027355494882243
"2024-01-22 23:59:59",-0.0583096020161299,1,-0.0583096020161299,0,-0.0583096020161299,0.596987301446971,-0.0348100919560562,-0.0348107942408685,0.000702284812306275
"2024-01-23 23:59:59",-0.0303529776009602,1,-0.0303529776009602,0,-0.0303529776009602,0.199426758660818,-0.00605319593866391,-0.00645075648145006,0.397560542786153
"2024-01-24 23:59:59",-0.00317946074895958,1,-0.00317946074895958,0,-0.00317946074895958,0.198997552301425,-0.000632704906681413,-0.000633134113040805,0.000429206359392864
"2024-01-25 23:59:59",-0.00709695667572818,1,-0.00709695667572818,0,-0.00709695667572818,0.198945446252605,-0.00141190721288815,-0.00141195931893697,5.21060488196945e-05
"2024-01-26 23:59:59",0.0223155948515603,-1,-0.0223155948515603,2,-0.0243155948515603,0.199180260855,0.00444482600366829,0.0044445911890659,0.000234814602395217
"2024-01-27 23:59:59",0.000302698645864741,-1,-0.000302698645864741,0,-0.000302698645864741,0.199868019665111,6.04997789042964e-05,5.98120200941862e-05,0.000687758810110184
"2024-01-28 23:59:59",-0.00470801586485448,-1,0.00470801586485448,0,0.00470801586485448,0.199854948501777,-0.000940920268216042,-0.000940933339379375,1.30711633334335e-05
"2024-01-29 23:59:59",0.0265173894774953,-1,-0.0265173894774953,0,-0.0265173894774953,0.600910312904662,0.0159345728083365,0.0155335174439336,0.401055364402885
"2024-01-30 23:59:59",0.0118380745754985,-1,-0.0118380745754985,0,-0.0118380745754985,0.601085304552005,0.00711569266152284,0.00711551766987549,0.00017499164734236
"2024-01-31 23:59:59",-0.026423255236829,1,-0.026423255236829,2,-0.028423255236829,0.600971970433065,-0.0158796357649329,-0.0158797490990519,0.000113334118939767
"2024-02-01 23:59:59",0.00932305132207056,1,0.00932305132207056,0,0.00932305132207056,0.60067980926412,0.00560016868990095,0.005599876528732,0.000292161168944816
"2024-02-02 23:59:59",0.00182880576097344,1,0.00182880576097344,0,0.00182880576097344,0.600623118250016,0.00109842301882946,0.00109836632781536,5.66910141038823e-05
