"id","slug","name","symbol","timestamp","ref_cur_id","ref_cur_name","time_open","time_close","time_high","time_low","open","high","low","close","volume","market_cap","circulating_supply"
1,"bitcoin","Bitcoin","BTC",2017-04-23 23:59:59,"2781","USD",2017-04-23,2017-04-23 23:59:59,2017-04-23 00:19:09,2017-04-23 22:44:07,1231.9200439453,1232.1999511719,1203.9399414063,1207.2099609375,258951008,19665994144.5,16290450
1,"bitcoin","Bitcoin","BTC",2017-04-24 23:59:59,"2781","USD",2017-04-24,2017-04-24 23:59:59,2017-04-24 21:24:10,2017-04-24 00:04:16,1209.6300048828,1250.9399414063,1209.6300048828,1250.1500244141,235806000,20367443800,16292000
1,"bitcoin","Bitcoin","BTC",2017-04-25 23:59:59,"2781","USD",2017-04-25,2017-04-25 23:59:59,2017-04-25 17:39:08,2017-04-25 02:19:10,1250.4499511719,1267.5799560547,1249.9699707031,1265.4899902344,242556000,20619704236.5,16293850
1,"bitcoin","Bitcoin","BTC",2017-04-26 23:59:59,"2781","USD",2017-04-26,2017-04-26 23:59:59,2017-04-26 17:59:08,2017-04-26 00:09:07,1265.9899902344,1294.8299560547,1265.9300537109,1281.0799560547,329631008,20876159410,16295750
1,"bitcoin","Bitcoin","BTC",2017-04-27 23:59:59,"2781","USD",2017-04-27,2017-04-27 23:59:59,2017-04-27 21:29:38,2017-04-27 01:09:09,1281.8800048828,1319.6999511719,1281.3000488281,1317.7299804688,449196992,21475836448,16297600
1,"bitcoin","Bitcoin","BTC",2017-04-28 23:59:59,"2781","USD",2017-04-28,2017-04-28 23:59:59,2017-04-28 03:14:11,2017-04-28 19:24:10,1317.7399902344,1331.2800292969,1292.3699951172,1316.4799804688,527488992,21457669552,16299275
1,"bitcoin","Bitcoin","BTC",2017-04-29 23:59:59,"2781","USD",2017-04-29,2017-04-29 23:59:59,2017-04-29 05:24:09,2017-04-29 13:14:07,1317.8399658203,1327.1999511719,1315.2099609375,1321.7900390625,422705984,21547126640.2,16301475
1,"bitcoin","Bitcoin","BTC",2017-04-30 23:59:59,"2781","USD",2017-04-30,2017-04-30 23:59:59,2017-04-30 23:54:06,2017-04-30 10:19:08,1321.8699951172,1347.9100341797,1314.9200439453,1347.8900146484,413115008,21975104908.9,16303337
1,"bitcoin","Bitcoin","BTC",2017-05-01 23:59:59,"2781","USD",2017-05-01,2017-05-01 23:59:59,2017-05-01 17:39:11,2017-05-01 00:04:08,1348.3000488281,1434.3199462891,1348.3000488281,1421.5999755859,713624000,23179524919.2,16305237
1,"bitcoin","Bitcoin","BTC",2017-05-02 23:59:59,"2781","USD",2017-05-02,2017-05-02 23:59:59,2017-05-02 11:39:12,2017-05-02 01:04:09,1421.0300292969,1473.9000244141,1415.6899414063,1452.8199462891,477337984,23691443737.8,16307212
